961:                    AppTab.Home -> {
962-                        // ========================== HOME VIEW (DATE DIVIDED COLUMNS GRID) ==========================
963-                        val cardsByDate = remember(filteredCards) {
964-                            filteredCards.filter { !it.isDeleted && it.type.isNotBlank() }.groupBy { card ->
965-                                val sdf = SimpleDateFormat("dd MMMM", Locale.getDefault())
966-                                sdf.format(Date(card.timestamp))
967-                            }
968-                        }
969-                        val sortedDates = remember(cardsByDate) {
970-                            cardsByDate.keys.sortedByDescending { dateStr ->
971-                                cardsByDate[dateStr]?.maxOfOrNull { it.timestamp } ?: 0L
972-                            }
973-                        }
974-
975-                        LazyColumn(
976-                            state = listState,
977-                            modifier = Modifier
978-                                .fillMaxSize()
979-                                .fadingEdges()
980-                                .padding(horizontal = 16.dp),
981-                            contentPadding = PaddingValues(top = 32.dp, bottom = 204.dp),
982-                            verticalArrangement = Arrangement.spacedBy(14.dp)
983-                        ) {
984-                            // Removed top list item overlay per user intent
985-
986-                            // Shared screenshot staging portal
987-                            pendingImageUri?.let { uri ->
988-                                item {
989-                                    Box(
990-                                        modifier = Modifier
991-                                            .fillMaxWidth()
992-                                            .shadow(elevation = 2.dp, shape = RoundedCornerShape(18.dp))
993-                                            .background(MaterialTheme.colorScheme.surface, shape = RoundedCornerShape(18.dp))
994-                                            .border(0.5.dp, MaterialTheme.colorScheme.outline, shape = RoundedCornerShape(18.dp))
995-                                            .padding(16.dp)
996-                                    ) {
997-                                        Column(verticalArrangement = Arrangement.spacedBy(12.dp)) {
998-                                            Row(verticalAlignment = Alignment.CenterVertically) {
999-                                                Icon(
1000-                                                    imageVector = Lucide.Image,
1001-                                                    contentDescription = null,
1002-                                                    tint = MaterialTheme.colorScheme.primary,
1003-                                                    modifier = Modifier.size(20.dp)
1004-                                                )
1005-                                                Spacer(modifier = Modifier.width(8.dp))
1006-                                                Text(
1007-                                                    text = "Shared Screenshot Detected",
1008-                                                    fontSize = 14.sp,
1009-                                                    fontWeight = FontWeight.Bold,
1010-                                                    color = MaterialTheme.colorScheme.onBackground
1011-                                                )
1012-                                            }
1013-
1014-                                            Row(
1015-                                                modifier = Modifier.fillMaxWidth(),
1016-                                                horizontalArrangement = Arrangement.spacedBy(12.dp)
1017-                                            ) {
1018-                                                AsyncImage(
1019-                                                    model = uri,
1020-                                                    contentDescription = "Shared Preview",
1021-                                                    modifier = Modifier
1022-                                                        .size(80.dp)
1023-                                                        .clip(RoundedCornerShape(12.dp))
1024-                                                        .border(0.5.dp, MaterialTheme.colorScheme.outline, RoundedCornerShape(12.dp)),
1025-                                                    contentScale = ContentScale.Crop
1026-                                                )
1027-
1028-                                                Column(
1029-                                                    modifier = Modifier.weight(1f),
1030-                                                    verticalArrangement = Arrangement.spacedBy(8.dp)
1031-                                                ) {
1032-                                                    Text(
1033-                                                        text = "Add custom caption or instructions before synthesizing:",
1034-                                                        fontSize = 11.sp,
1035-                                                        color = MaterialTheme.colorScheme.secondary
1036-                                                    )
1037-                                                    OutlinedTextField(
1038-                                                        value = pendingImageInstruction,
1039-                                                        onValueChange = { viewModel.updatePendingImageInstruction(it) },
1040-                                                        placeholder = {
1041-                                                            Text(
1042-                                                                "Tell Gemini what to do... (e.g. 'Extract receipt todos')",
1043-                                                                fontSize = 12.sp
1044-                                                            )
1045-                                                        },
1046-                                                        modifier = Modifier.fillMaxWidth(),
1047-                                                        textStyle = TextStyle(fontSize = 13.sp),
1048-                                                        colors = OutlinedTextFieldDefaults.colors(
1049-                                                            focusedContainerColor = MaterialTheme.colorScheme.background,
1050-                                                            unfocusedContainerColor = MaterialTheme.colorScheme.background
1051-                                                        ),
1052-                                                        shape = RoundedCornerShape(12.dp)
1053-                                                    )
1054-                                                }
1055-                                            }
1056-
1057-                                            Row(
1058-                                                modifier = Modifier.fillMaxWidth(),
1059-                                                horizontalArrangement = Arrangement.End,
1060-                                                verticalAlignment = Alignment.CenterVertically
1061-                                            ) {
1062-                                                TextButton(onClick = { viewModel.cancelPendingImage() }) {
1063-                                                    Text("Cancel", color = Color.Red.copy(alpha = 0.8f))
1064-                                                }
1065-                                                Spacer(modifier = Modifier.width(8.dp))
1066-                                                Button(
